num_etudiant;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;last_annee_validee;last_diplome_valide;moyenne
21809096;Hors;Hors;L3 E - S1;Hors;Hors;2018/2019;L3;10.61
21600560;Hors;L2 Maths - S1;L3 E - S1;Hors;Hors;2018/2019;L3;14.52
21500074;L2 Maths - S2;L3 E - S2;L3 E - S2;L3 E - S1;Hors;2019/2020;L3;9.39
21814036;Hors;Hors;L3 E - S1;Hors;Hors;2018/2019;L3;17.03
21512539;Hors;Hors;L3 E - S2;Hors;Hors;2018/2019;L3;9.58
21808252;Hors;Hors;L3 E - S2;L3 E - S2;Hors;2019/2020;L3;9.45
21608905;Hors;L2 Maths - S1;L3 E - S1;Hors;Hors;2018/2019;L3;11.69
21604136;Hors;L2 Maths - S2;L2 Maths - S2;L3 E - S2;L3 E - S1;None;None;8.0
21609657;Hors;L2 Maths - S2;L2 Maths - S2;L3 E - S2;L3 E - S1;2020/2021;L3;10.22
22015396;Hors;Hors;Hors;Hors;L3 E - S1;2020/2021;L3;None
21604069;Hors;L2 Maths - S2;L2 Maths - S1;L3 E - S2;L3 E - S1;2020/2021;L3;9.37
22014253;Hors;Hors;Hors;Hors;L3 E - S1;2020/2021;L3;None
21606329;Hors;Hors;L2 Maths - S2;L2 Maths - S2;L3 E - S1;None;None;7.16
21605026;Hors;Hors;L2 Maths - S2;L2 Maths - S1;L3 E - S1;2020/2021;L3;7.57
21807222;Hors;Hors;L1 Maths - S1;L2 Maths - S2;L3 E - S1;2018/2019;L1;9.66
21910869;Hors;Hors;Hors;L3 E - S2;L3 E - S1;None;None;7.91
21700694;Hors;Hors;L2 Maths - S2;L3 ESR - S2;L3 E - S1;2020/2021;L3;9.69
21702830;Hors;Hors;L2 Maths - S2;L3 E - S2;L3 E - S1;2020/2021;L3;10.1
22009554;Hors;Hors;Hors;Hors;L3 E - S1;2020/2021;L3;None
21704237;Hors;Hors;L1 Maths - S1;L2 Maths - S1;L3 E - S1;2019/2020;L2;11.91
21701541;Hors;Hors;L2 Maths - S2;L3 E - S2;L3 E - S1;2020/2021;L3;10.29
21704495;Hors;Hors;L2 Maths - S2;L2 Maths - S2;L3 E - S1;2019/2020;L2;10.02
21801886;Hors;Hors;L1 Maths - S1;L2 Maths - S2;L3 E - S1;2018/2019;L1;10.22
21705457;Hors;Hors;L2 Maths - S2;L2 Maths - S1;L3 E - S1;2020/2021;L3;10.8
21600674;Hors;Hors;L1 Maths - S1;L2 Maths - S2;L3 E - S1;2018/2019;L1;9.62
22016010;Hors;Hors;Hors;Hors;L3 E - S1;2020/2021;L3;None
21803027;Hors;Hors;L1 Maths - S2;L2 Maths - S2;L3 E - S1;2020/2021;L2;9.83
22010252;Hors;Hors;Hors;Hors;L3 E - S1;None;None;None
21914799;Hors;Hors;Hors;L3 E - S2;L3 E - S1;None;None;None
21603310;Hors;L2 Maths - S2;L2 Maths - S2;L2 Maths - S1;L3 E - S1;2019/2020;L2;8.62
22003921;Hors;Hors;Hors;Hors;L3 E - S1;None;None;None
21700759;Hors;Hors;L2 Maths - S2;L2 Maths - S1;L3 E - S1;2020/2021;L3;10.1
21805660;Hors;Hors;Hors;L2 Maths - S1;L3 E - S1;2020/2021;L3;12.37
21708427;Hors;Hors;Hors;Hors;L3 E - S1;None;None;None
21602700;Hors;Hors;L2 Maths - S2;L2 Maths - S1;L3 E - S1;2020/2021;L3;9.54
21706584;Hors;Hors;L2 Maths - S2;L2 Maths - S2;L3 E - S1;2019/2020;L2;7.05
21703961;Hors;Hors;L2 Maths - S2;L2 Maths - S1;L3 E - S1;2019/2020;L2;8.83
21402850;Hors;L2 Maths - S2;L2 Maths - S2;L2 Maths - S2;L3 E - S1;2019/2020;L2;8.19
21704209;Hors;Hors;Hors;Hors;L3 E - S1;2020/2021;L3;None
21303514;Hors;Hors;L2 Maths - S2;L2 Maths - S1;L3 E - S1;2020/2021;L3;7.68
21600099;Hors;Hors;L1 Maths - S2;L2 Maths - S2;L3 E - S1;2020/2021;L3;10.98
21903254;Hors;Hors;Hors;Hors;L3 E - S1;2020/2021;L3;None
22000436;Hors;Hors;Hors;Hors;L3 E - S1;2020/2021;L3;None
21802184;Hors;Hors;3LA Maths - S1;L2 Maths - S2;L3 E - S1;None;None;9.27
21501058;Hors;Hors;L2 Maths - S2;L3 E - S2;L3 E - S1;2020/2021;L3;10.48
21701017;Hors;Hors;L2 Maths - S2;L3 MAPI3 - S2;L3 E - S1;2020/2021;L3;9.64
21801078;Hors;Hors;L1 Maths - S2;L2 Maths - S2;L3 E - S1;2019/2020;L2;10.44
21912847;Hors;Hors;Hors;L3 E - S2;L3 E - S1;2020/2021;L3;None
22008827;Hors;Hors;Hors;Hors;L3 E - S1;2020/2021;L3;None
21704241;Hors;Hors;L1 Maths - S2;L2 Maths - S2;L3 E - S1;2018/2019;L1;9.81
21704386;Hors;Hors;L1 Maths - S1;L2 Maths - S1;L3 E - S1;2020/2021;L3;11.05
21806284;Hors;Hors;L2 Maths - S2;L3 E - S2;L3 E - S1;None;None;7.98
21601417;Hors;Hors;L2 Maths - S2;L3 E - S2;L3 E - S1;2019/2020;L2;8.03
21007600;Hors;M1 MAPI3 - S1;M2 MAPI3 - S1;M2 MAPI3 - S2;Hors;2019/2020;M2;13.37
21100419;Hors;M2 MAPI3 - S2;M2 MAPI3 - S2;Hors;Hors;None;None;None
21206304;Hors;M2 MAPI3 - S2;Hors;Hors;Hors;2017/2018;M2;11.91
21508935;Hors;M2 MAPI3 - S2;Hors;Hors;Hors;None;None;None
21306269;Hors;M2 MAPI3 - S2;Hors;Hors;Hors;2017/2018;M2;13.27
21004008;Hors;M2 MAPI3 - S2;Hors;Hors;Hors;2017/2018;M2;12.81
21302286;Hors;M2 MAPI3 - S2;Hors;Hors;Hors;2017/2018;M2;12.12
20301116;Hors;M2 MAPI3 - S2;M2 MAPI3 - S1;Hors;Hors;2018/2019;M2;13.02
21603548;L3 SID - S1;M1 SID - S2;M2 SID - S1;Hors;Hors;2018/2019;M2;11.35
21707777;Hors;M1 SID - S2;M1 SID - S2;Hors;Hors;None;None;7.5
21607161;L3 SID - S1;M1 SID - S2;M2 SID - S1;Hors;Hors;2018/2019;M2;12.39
21710543;Hors;M1 SID - S2;Hors;Hors;Hors;None;None;None
21400692;L3 SID - S1;M1 SID - S2;M2 SID - S1;Hors;Hors;2018/2019;M2;11.86
21707922;Hors;M1 SID - S2;M2 SID - S1;Hors;Hors;2018/2019;M2;11.88
21607633;L3 SID - S1;M1 SID - S2;M2 SID - S1;Hors;Hors;2018/2019;M2;11.84
21508345;Hors;M1 SID - S2;M2 SID - S1;Hors;Hors;2018/2019;M2;11.98
